"owner_id","treat7","treat8","rand_id","holdout","azavea_section","ever_paid_jul","ever_paid_sep","ever_paid_dec","ever_paid_jul16","paid_full_jul","paid_full_sep","paid_full_dec","paid_full_jul16","total_paid_sep","total_paid_dec","earliest_pmt_dec","earliest_pmt_jul16","total_due","assessed_mv","tenure","x_lon","y_lat","kde","flag_holdout_overlap","N","unq_own"
20873,"Sheriff","Sheriff",467,0,"Northeast Philadelphia",0,0,1,1,0,0,0,1,0,1433.32,2015-11-19,2016-02-17T00:00:00Z,1355.49,126800,14,-75.0447632439,40.033940746,9.14706863608144e-06,0,1,1
1805,"Sheriff","Sheriff",500,0,"South Philadelphia",1,1,1,1,1,1,1,1,1295.4,1295.4,2015-07-17,2016-01-22T00:00:00Z,1277.07,121200,24,-75.192753705,39.9291939327,1.08816433555923e-05,0,1,1
2131,"Sheriff","Sheriff",678,0,"Northwest Philadelphia",0,1,1,0,0,0,0,0,941.61,941.61,2015-08-14,,928.28,69100,7,-75.1601049629,40.0107298411,1.21781796569548e-05,0,1,1
1458,"Sheriff","Sheriff",241,0,"Northwest Philadelphia",0,0,0,0,0,0,0,0,0,0,,,2233.48,159500,2,-75.1805155764,40.0582562266,1.0562201539182e-05,0,1,1
12265,"Sheriff","Sheriff",1178,0,"Northwest Philadelphia",0,0,0,0,0,0,0,0,0,0,,,201.64,14400,1,-75.1801625972,39.9954066543,2.32778683378301e-05,0,1,1
9130,"Sheriff","Sheriff",358,0,"Northwest Philadelphia",0,0,0,1,0,0,0,1,0,0,,2016-03-18T00:00:00Z,1688.76,120600,25,-75.1649777068,40.0263078838,1.42832468592564e-05,0,1,1
16146,"Sheriff","Sheriff",875,0,"West Philadelphia",1,1,1,0,0,0,0,0,721.44,721.44,2015-06-09,,721.44,89900,48,-75.199587151,39.9723351984,1.93975071720099e-05,1,2,0
14845,"Sheriff","Sheriff",1228,0,"West Philadelphia",0,0,0,0,0,0,0,0,0,0,,,108.63,38000,9,-75.2293359398,39.9445231527,2.39644027118125e-05,0,1,1
19,"Sheriff","Sheriff",1033,0,"West Philadelphia",1,1,1,1,0,1,1,1,420,420,2015-06-12,2016-02-25T00:00:00Z,412.11,70700,5,-75.2295479196,39.9715847475,2.67332277393323e-05,0,1,1
372,"Sheriff","Sheriff",115,0,"Northwest Philadelphia",0,1,1,1,0,1,1,1,3674.87,3674.87,2015-09-14,2016-05-05T00:00:00Z,3523.15,281600,12,-75.1982814134,40.0512311689,2.94551854426331e-06,0,1,1
